,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,743.0,774.65,741.0,1837008.0,42.26,-57.74,0.04248253,137627195.0,574.35,670.05,716.75,755.85,77.19,751.95,777.43,-1.0,-1.0
1,1295.1,1315.0,1260.0,245625.0,1.89,-98.11,-0.01390606,-7230247.0,1033.86,1173.58,1292.91,1308.65,52.39,1311.38,1320.33,1.0,1.0
2,450.0,454.9,445.25,365403.0,50.39,-49.61,-0.01808082,135643547.0,366.06,407.68,458.7,451.69,66.43,452.41,446.59,-1.0,1.0
3,660.0,662.0,646.1,373164.0,73.42,-26.58,0.01793232,-6494504.0,519.61,584.64,647.47,649.88,20.11,649.42,651.09,1.0,1.0
4,684.9,689.7,661.5,518973.0,91.8,-8.2,0.10532727,-4323291.0,510.76,573.38,631.61,633.81,69.9,637.16,616.29,-1.0,1.0
5,650.0,685.0,602.1,224060.0,53.0,-47.0,0.11748566,-8327499.0,511.92,576.89,632.29,640.44,-0.08,635.05,690.1,-1.0,1.0
6,439.85,445.65,426.0,61247.0,1.22,-98.78,-0.16443018,11090600.0,373.24,449.07,476.26,513.61,-0.86,508.48,522.07,1.0,-1.0
7,323.95,333.45,322.35,1133354.0,64.62,-35.38,-0.00015088,480702618.0,267.32,296.05,334.52,326.19,72.55,327.22,320.15,-1.0,-1.0
8,637.0,673.0,631.0,742299.0,125.96,25.96,0.181786,-1387766.0,469.76,516.25,579.32,565.98,44.76,568.44,566.92,-1.0,-1.0
9,455.45,471.4,455.4,4564305.0,105.01,5.01,0.05927364,423516708.0,351.25,385.06,438.94,422.55,67.91,428.83,402.24,-1.0,-1.0
10,549.5,554.9,532.65,3855381.0,66.12,-33.88,0.03663606,688436989.0,423.66,464.38,527.41,510.46,53.87,511.26,530.0,1.0,-1.0
11,262.2,267.35,261.6,510777.0,9.94,-90.06,0.01336643,301301659.0,212.74,247.31,265.61,278.82,9.82,276.8,283.68,-1.0,1.0
12,1025.0,1057.8,1024.0,228006.0,99.3,-0.7,0.05843468,-6890897.0,797.14,873.89,993.21,960.56,9.97,963.07,951.52,-1.0,-1.0
13,1305.0,1340.0,1297.0,182725.0,79.58,-20.42,-0.00160544,-7092691.0,1062.29,1197.56,1332.46,1334.59,55.42,1334.72,1305.26,-1.0,-1.0
14,561.5,564.0,538.5,151761.0,7.64,-92.36,-0.07996002,-2607186.0,449.91,532.9,567.71,605.9,49.6,600.99,660.97,-1.0,-1.0
15,502.05,515.5,498.0,144661.0,20.61,-79.39,-0.01148981,-9896112.0,409.05,461.82,512.24,513.52,69.29,516.2,519.59,-1.0,1.0
16,747.75,762.85,725.0,44096.0,21.64,-78.36,-0.04469201,12599939.0,605.05,687.45,758.47,767.38,-7.57,767.3,760.51,1.0,1.0
17,415.1,423.8,404.1,866383.0,48.22,-51.78,-0.05920677,430657074.0,337.97,389.69,424.67,437.97,46.28,435.08,445.1,1.0,1.0
18,475.55,477.9,450.3,506394.0,-47.64,-147.64,-0.0920012,144820562.0,389.97,445.32,490.2,498.92,-11.65,497.83,491.65,1.0,1.0
19,401.0,417.7,398.5,4212780.0,99.78,-0.22,0.03837789,720047810.0,315.97,347.62,393.8,382.21,0.0,383.27,370.9,-1.0,-1.0
20,513.5,525.0,513.5,44120.0,27.46,-72.54,-0.01642457,-10133217.0,415.11,463.27,520.24,513.93,50.29,513.03,516.22,-1.0,-1.0
21,225.5,232.45,221.0,1607908.0,25.23,-74.77,-0.00844632,297756047.0,175.73,199.84,220.71,222.35,52.88,223.01,231.74,-1.0,-1.0
22,553.0,561.4,550.2,1323487.0,15.12,-84.88,0.0145151,713555026.0,447.94,506.04,560.0,564.0,43.94,562.32,582.52,-1.0,1.0
23,377.35,378.0,348.5,1928854.0,18.41,-81.59,0.04754851,290033136.0,304.84,337.24,376.05,372.07,2.25,371.7,391.89,1.0,1.0
24,180.05,187.35,178.0,2010065.0,11.85,-88.15,-0.05748628,132237613.0,144.22,184.62,181.79,215.44,81.4,212.58,234.42,-1.0,1.0
25,285.0,302.8,284.0,3321072.0,116.72,16.72,0.18981019,169198625.0,213.07,228.39,262.8,248.58,31.21,249.95,243.83,-1.0,-1.0
26,666.0,709.7,666.0,12019144.0,133.95,33.95,0.15325293,652599782.0,510.61,566.44,632.72,624.38,21.63,626.3,602.24,-1.0,-1.0
27,365.5,374.7,362.95,1771041.0,81.56,-18.44,0.1516044,198450376.0,278.11,311.75,342.74,345.96,28.88,344.86,354.04,-1.0,-1.0
28,433.0,489.5,411.05,6961605.0,51.72,-48.28,0.19212008,291694728.0,341.47,397.61,418.4,447.67,43.22,444.54,481.69,-1.0,-1.0
29,746.0,767.95,725.0,117394.0,58.4,-41.6,-0.00150958,8932080.0,602.73,673.46,754.8,746.43,68.05,746.91,753.93,-1.0,-1.0
30,243.25,245.65,237.0,822978.0,-1.7,-101.7,-0.12550164,314063217.0,207.68,245.54,263.57,278.03,73.21,277.38,285.72,1.0,1.0
31,562.0,566.0,547.6,1026874.0,26.54,-73.46,-0.0193057,718615744.0,451.16,511.73,564.84,570.08,46.29,569.81,563.19,1.0,1.0
32,998.8,1008.8,992.0,132923.0,74.71,-25.29,0.01751609,12770258.0,785.94,887.36,982.37,988.39,5.88,986.6,948.14,-1.0,-1.0
33,828.0,831.4,800.0,561947.0,70.25,-29.75,-0.01164766,144944091.0,658.85,719.19,823.51,788.7,31.97,792.33,781.79,1.0,1.0
34,416.85,416.85,406.25,1178284.0,79.13,-20.87,0.0735121,471162776.0,321.33,329.73,397.79,351.16,2.61,354.03,344.79,1.0,1.0
35,1197.0,1206.0,1163.05,76897.0,7.21,-92.79,-0.0304402,-6878971.0,946.6,1093.34,1186.06,1228.04,20.57,1222.22,1257.14,1.0,1.0
36,561.4,572.0,550.5,3806724.0,83.31,-16.69,0.08917943,586605291.0,439.98,466.68,545.1,504.45,71.41,509.9,470.57,-1.0,1.0
37,245.3,249.3,234.3,1029875.0,-18.77,-118.77,-0.06326611,299442873.0,200.66,236.05,251.64,266.45,19.64,266.98,265.64,1.0,1.0
38,718.8,737.5,704.2,1400352.0,23.02,-76.98,-0.03294522,154427851.0,596.82,691.29,751.3,780.8,59.6,775.39,799.17,-1.0,-1.0
39,250.0,266.95,232.45,923870.0,65.99,-34.01,0.03783251,34796706.0,202.7,229.76,253.02,255.5,70.86,255.48,250.04,-1.0,-1.0
40,629.95,635.0,620.0,2381978.0,88.54,-11.46,0.03483454,271621911.0,491.71,514.36,611.72,555.5,47.02,557.06,548.15,1.0,1.0
41,609.0,609.0,592.0,210309.0,17.47,-82.53,-0.0123857,-7158571.0,474.3,546.84,593.74,612.85,65.92,612.24,620.89,1.0,1.0
42,552.05,563.5,526.1,117600.0,21.48,-78.52,-0.03865772,10848253.0,443.05,490.01,555.05,539.33,50.23,543.27,564.3,1.0,1.0
43,349.3,371.4,349.3,3348569.0,48.06,-51.94,0.05647126,216247779.0,277.76,318.75,347.19,356.89,19.71,356.66,359.49,-1.0,-1.0
44,338.5,354.65,331.75,2690127.0,11.95,-88.05,-0.07866948,207115019.0,291.0,336.91,368.42,378.72,46.44,377.93,378.56,-1.0,1.0
45,315.0,324.8,306.9,1087994.0,35.79,-64.21,0.03950452,291534686.0,245.12,282.73,304.0,317.85,71.78,315.75,320.13,1.0,1.0
46,312.2,341.0,311.0,6529560.0,127.87,27.87,0.19791854,455898228.0,229.08,255.48,283.25,282.68,40.79,281.86,282.66,-1.0,-1.0
47,451.55,477.7,451.55,377907.0,54.08,-45.92,-0.01051635,137006325.0,379.62,423.11,475.44,467.1,28.98,469.64,473.42,1.0,-1.0
48,200.3,204.8,194.5,787128.0,68.09,-31.91,-0.09449707,20254919.0,166.0,182.46,208.68,199.16,53.2,202.23,185.86,1.0,1.0
49,1123.5,1132.05,1108.5,184536.0,8.09,-91.91,-0.03903008,-6668731.0,912.82,1016.01,1144.35,1125.64,81.13,1124.76,1128.3,1.0,1.0
50,336.0,341.0,332.8,1056366.0,17.82,-82.18,0.02587519,209179180.0,265.67,303.46,331.44,339.69,18.69,338.64,353.25,-1.0,1.0
51,1134.85,1138.8,1077.0,95492.0,-16.0,-116.0,-0.06879502,-6869124.0,925.22,1065.48,1162.88,1193.55,57.83,1198.47,1159.11,1.0,1.0
52,220.0,234.95,207.6,151248.0,6.85,-93.15,-0.14481336,11108523.0,197.27,247.93,252.51,288.97,39.53,280.76,339.5,-1.0,1.0
53,485.55,494.7,472.0,173026.0,2.59,-97.41,-0.04823057,113847196.0,406.99,462.32,510.41,515.7,43.23,515.19,514.21,1.0,1.0
54,553.75,572.85,547.35,1848787.0,59.12,-40.88,0.01411849,720514043.0,444.85,507.07,556.76,566.63,13.47,565.65,567.69,-1.0,-1.0
55,472.45,473.7,464.4,960979.0,25.3,-74.7,0.02281703,710686988.0,368.13,418.47,458.67,467.5,-7.01,465.21,473.78,1.0,1.0
56,522.0,527.0,502.5,2209354.0,-19.58,-119.58,-0.14120744,276814948.0,452.34,521.17,572.81,585.33,70.79,585.27,585.38,1.0,1.0
57,333.8,338.0,313.65,742688.0,11.15,-88.85,-0.02668302,294072978.0,266.49,297.26,331.86,330.17,48.19,327.73,358.78,1.0,1.0
58,314.0,319.7,296.0,2428879.0,34.88,-65.12,-0.083308,187793679.0,263.26,298.44,331.81,332.35,53.89,333.03,327.17,1.0,1.0
59,355.9,357.7,345.1,1308278.0,90.79,-9.21,0.05732869,458219252.0,271.16,289.01,336.14,311.45,73.64,315.58,295.89,1.0,-1.0
60,544.0,569.75,544.0,120268.0,11.61,-88.39,-0.05680107,-2535775.0,465.67,561.17,587.61,642.83,66.93,633.02,683.09,-1.0,-1.0
61,239.9,255.9,238.0,1388410.0,46.51,-53.49,0.00823459,138043812.0,197.48,227.98,247.47,256.7,9.64,255.2,255.64,-1.0,-1.0
62,583.5,585.0,555.0,73146.0,42.68,-57.32,0.03664631,11216126.0,438.67,486.98,544.82,537.53,19.31,537.82,538.11,1.0,1.0
63,349.35,349.35,339.5,631543.0,30.35,-69.65,-0.01284642,299529549.0,276.3,312.4,345.0,347.67,1.92,347.25,349.86,1.0,1.0
64,1130.0,1143.9,1122.0,73314.0,30.18,-69.82,-0.00035194,-6680193.0,904.53,1035.63,1132.01,1158.65,13.47,1156.99,1163.27,-1.0,-1.0
65,769.15,792.0,751.0,40979.0,65.6,-34.4,0.06011929,12651789.0,598.26,694.3,744.09,779.15,11.18,776.99,771.89,-1.0,-1.0
66,365.5,366.4,353.2,1383428.0,26.33,-73.67,-0.04343733,702440876.0,296.53,341.43,370.8,383.31,19.24,381.68,374.66,1.0,1.0
67,615.0,620.0,585.25,245923.0,-3.71,-103.71,-0.08502056,-8180475.0,497.44,594.23,626.01,673.98,7.5,674.93,652.56,1.0,1.0
68,554.0,575.0,511.55,188160.0,6.12,-93.88,-0.01605445,-9105953.0,454.79,529.25,570.8,596.92,17.51,592.52,641.19,-1.0,1.0
69,340.2,344.5,336.4,510253.0,45.48,-54.52,-0.01991917,302112920.0,277.51,310.06,347.47,344.06,-0.59,343.28,344.93,1.0,1.0
70,538.3,552.9,535.0,89198.0,31.45,-68.55,0.02059324,10896104.0,426.84,486.82,532.04,544.65,53.31,542.47,554.63,-1.0,-1.0
71,524.0,553.45,489.25,11622015.0,19.58,-80.42,-0.08425926,679298638.0,456.46,514.88,577.67,577.13,20.59,572.44,601.56,-1.0,1.0
72,246.15,252.5,243.0,794321.0,7.58,-92.42,-0.06704331,334138885.0,205.59,236.78,259.1,264.72,11.69,265.31,259.07,-1.0,1.0
73,302.25,304.4,297.0,813612.0,14.37,-85.63,0.0206379,299209059.0,238.71,278.6,297.01,313.75,18.64,312.32,318.17,1.0,1.0
74,385.75,422.95,382.15,6946872.0,57.75,-42.25,0.09933255,411718016.0,305.31,349.73,381.44,391.67,47.32,389.84,392.14,-1.0,-1.0
75,143.95,145.5,140.1,295364.0,5.96,-94.04,-0.06349206,11466509.0,115.98,137.54,145.96,156.18,66.12,154.27,164.52,1.0,1.0
76,536.75,546.9,535.05,1019598.0,46.03,-53.97,-0.01431437,713324365.0,430.96,484.43,540.52,538.39,23.48,538.04,534.99,-1.0,-1.0
77,416.75,444.0,415.25,3597747.0,22.48,-77.52,0.01639155,427976521.0,337.04,393.46,423.89,445.08,43.55,442.1,475.03,-1.0,-1.0
78,1020.0,1028.0,982.0,62545.0,69.48,-30.52,0.03144816,12803028.0,791.99,890.12,985.76,988.81,-13.7,982.84,970.42,1.0,1.0
79,588.95,594.5,581.8,1434599.0,27.01,-72.99,-0.01829934,283052283.0,474.63,529.9,595.7,588.01,52.5,588.95,596.97,1.0,-1.0
80,408.0,437.9,403.1,3858651.0,83.71,-16.29,0.09472089,72717917.0,320.31,372.71,399.25,419.77,70.86,417.93,387.92,-1.0,-1.0
81,970.25,974.7,957.0,118742.0,79.57,-20.43,-0.03130165,-7278822.0,783.73,869.49,984.11,960.07,23.95,961.14,969.43,-1.0,-1.0
82,611.6,635.0,597.2,455270.0,52.46,-47.54,-0.00923879,-1898515.0,496.95,567.66,622.02,634.75,73.04,629.35,619.34,-1.0,1.0
83,482.0,494.5,477.0,1352467.0,79.5,-20.5,0.0656417,445136811.0,367.94,418.03,457.73,467.32,-3.36,462.84,461.57,-1.0,-1.0
84,760.0,778.0,742.5,377839.0,86.4,-13.6,0.06849979,-1727640.0,594.02,639.08,737.71,697.22,18.2,699.97,663.93,-1.0,1.0
85,381.95,387.45,369.15,2322891.0,86.25,-13.75,0.03643669,199488989.0,293.85,308.45,364.47,332.2,70.15,336.26,326.01,1.0,1.0
86,804.0,805.0,784.35,45959.0,21.33,-78.67,-0.03049563,9282324.0,649.83,729.41,814.12,809.53,20.84,809.63,798.46,1.0,1.0
87,498.4,518.0,490.05,512744.0,35.0,-65.0,0.0103648,98757698.0,400.06,454.43,500.99,506.88,-1.28,508.87,513.99,-1.0,-1.0
88,1150.0,1190.0,1150.0,194538.0,103.28,3.28,0.0497879,-5870714.0,915.28,1009.22,1141.24,1112.96,70.67,1116.01,1058.15,-1.0,-1.0
89,286.4,286.5,278.1,940574.0,50.76,-49.24,0.02963776,445069077.0,225.49,251.2,279.87,276.13,72.09,277.57,278.63,1.0,1.0
90,1120.0,1125.0,1080.0,100871.0,-6.3,-106.3,-0.04175365,-6769602.0,903.79,1014.49,1133.39,1125.41,83.9,1125.83,1126.57,1.0,1.0
91,338.0,344.5,333.6,1338437.0,5.03,-94.97,-0.00471559,208584049.0,275.6,327.04,344.6,371.09,39.5,367.16,377.05,-1.0,1.0
92,635.0,639.0,602.7,5595962.0,17.48,-82.52,-0.03086765,673061107.0,499.67,573.19,627.75,642.69,28.75,644.51,699.94,-1.0,-1.0
93,423.1,426.0,412.3,805354.0,-3.28,-103.28,-0.06030094,288744844.0,343.47,398.44,431.89,448.68,28.83,446.15,443.88,1.0,1.0
94,453.0,461.4,432.35,2849136.0,79.66,-20.34,0.1001006,228112318.0,332.57,355.86,409.5,385.62,63.95,387.6,378.39,1.0,1.0
95,632.45,634.55,611.0,2270727.0,40.06,-59.94,-0.01373692,714105589.0,505.56,565.1,631.68,627.26,54.05,627.84,624.19,1.0,1.0
96,445.0,449.8,431.1,286314.0,-19.43,-119.43,-0.08988058,96906563.0,375.19,427.36,472.18,477.89,57.23,476.46,477.97,1.0,1.0
97,375.0,375.7,363.3,1460038.0,87.52,-12.48,0.04798739,200929885.0,287.08,314.8,356.16,345.43,6.2,345.9,334.84,1.0,1.0
98,222.95,231.0,205.0,1122685.0,84.64,-15.36,0.22019395,19356746.0,156.14,163.96,189.01,176.43,45.62,178.42,168.14,1.0,-1.0
99,178.0,178.6,163.05,492955.0,53.67,-46.33,0.07584635,13034981.0,137.06,142.86,167.94,153.02,9.32,156.05,144.47,1.0,1.0
100,774.95,774.95,741.15,97572.0,28.56,-71.44,0.00685024,8499403.0,604.86,690.29,752.1,771.56,59.09,765.78,784.92,1.0,1.0
101,441.1,467.85,441.1,1064186.0,64.96,-35.04,0.05208096,134660025.0,353.57,405.49,440.46,454.35,59.59,452.74,453.81,-1.0,-1.0
102,393.95,395.45,371.0,1225020.0,48.98,-51.02,-0.08833922,469189943.0,323.23,361.35,406.46,399.87,31.42,400.51,361.43,1.0,1.0
103,1322.0,1334.0,1308.0,156801.0,64.44,-35.56,0.02076634,-6781990.0,1033.75,1165.2,1289.18,1295.48,39.96,1293.37,1310.51,-1.0,-1.0
104,903.9,924.0,894.0,73801.0,77.13,-22.87,0.07106689,12432007.0,705.71,769.3,875.19,843.34,57.94,846.36,840.13,1.0,1.0
105,830.0,845.0,825.0,32645.0,46.88,-53.12,0.00211353,11780451.0,669.77,746.72,838.29,828.3,59.7,828.54,828.02,-1.0,-1.0
106,528.5,543.5,522.1,2827643.0,96.68,-3.32,0.06081624,435216189.0,404.24,420.17,502.14,453.05,19.68,456.25,454.55,-1.0,-1.0
107,170.5,175.0,157.0,1731530.0,73.13,-26.87,0.07557955,16317234.0,135.71,150.44,167.57,166.93,54.94,166.31,149.71,1.0,1.0
108,252.5,260.6,249.6,191145.0,47.02,-52.98,-0.00369219,33872836.0,202.89,229.07,254.21,254.4,67.79,255.04,249.02,-1.0,-1.0
109,605.3,620.55,601.25,526161.0,38.01,-61.99,0.02569757,-6909600.0,477.09,539.16,594.08,600.22,79.02,598.52,611.99,1.0,1.0
110,360.0,366.2,351.0,630961.0,22.33,-77.67,0.00209732,443857291.0,293.65,341.16,367.01,382.0,31.56,382.5,385.43,-1.0,1.0
111,138.95,145.1,136.1,120240.0,4.52,-95.48,-0.08955717,10322195.0,116.21,146.2,147.12,169.57,69.87,167.4,180.14,-1.0,1.0
112,376.0,381.9,373.05,783453.0,94.6,-5.4,0.07618639,303406611.0,291.83,302.44,361.88,324.06,59.74,328.87,315.21,-1.0,-1.0
113,808.0,833.0,808.0,1042899.0,100.27,0.27,0.07752647,144250897.0,627.38,698.83,779.02,773.91,59.03,772.29,759.68,-1.0,-1.0
114,544.5,550.6,534.0,48735.0,58.44,-41.56,0.00205684,11123155.0,431.38,482.84,538.44,535.58,6.52,534.21,535.6,1.0,1.0
115,478.0,499.0,473.05,38524.0,78.83,-21.17,0.02227935,10854375.0,387.34,413.16,483.32,448.98,11.6,453.42,422.91,1.0,-1.0
116,149.7,165.9,142.0,2311341.0,92.96,-7.04,0.25525773,15699769.0,102.3,118.57,124.68,132.83,73.49,131.83,138.11,-1.0,-1.0
117,324.0,340.0,323.0,1216026.0,22.24,-77.76,-0.04983012,215542922.0,272.94,318.19,344.81,359.45,78.62,357.38,366.02,-1.0,-1.0
118,199.3,203.0,188.25,1458469.0,-9.17,-109.17,-0.19752569,131404781.0,177.54,213.65,225.99,245.0,13.85,242.59,251.72,1.0,1.0
119,753.0,761.95,747.55,559182.0,40.37,-59.63,0.07534737,137222057.0,587.51,663.47,728.56,739.81,67.26,734.37,769.66,-1.0,1.0
120,776.9,776.9,761.0,70807.0,27.35,-72.65,-0.04520128,8765719.0,630.32,714.02,792.45,796.48,34.37,795.22,801.81,1.0,1.0
121,475.0,475.0,446.0,93817.0,5.67,-94.33,-0.07693086,10942471.0,393.44,446.32,493.38,496.88,56.12,499.7,489.71,1.0,1.0
122,308.85,311.0,295.1,824676.0,6.02,-93.98,-0.05646947,188785790.0,247.61,284.87,310.7,319.86,58.52,317.24,326.71,1.0,1.0
123,219.0,220.4,215.0,472473.0,4.01,-95.99,-0.03534119,340254452.0,178.13,201.54,223.55,224.99,6.24,223.61,236.31,1.0,1.0
124,950.0,996.8,950.0,368123.0,101.7,1.7,0.04105308,-7819408.0,754.11,848.27,944.06,943.13,13.96,941.61,951.54,-1.0,-1.0
125,180.0,180.4,165.05,824726.0,50.25,-49.75,-0.00507311,13666646.0,136.71,152.49,169.62,169.76,6.07,167.0,160.67,1.0,1.0
126,281.0,291.85,278.95,1888242.0,101.13,1.13,0.08724326,327730927.0,217.18,228.98,269.9,247.76,36.6,250.24,241.95,-1.0,-1.0
127,626.0,628.45,607.05,2193358.0,68.21,-31.79,-0.01542811,626322978.0,499.4,544.17,623.35,595.41,70.87,599.98,580.65,1.0,1.0
128,506.0,506.0,485.25,182375.0,50.12,-49.88,-0.04026583,113478402.0,399.05,446.27,500.92,495.12,78.39,495.68,500.0,1.0,1.0
129,723.0,759.9,714.0,33721.0,43.11,-56.89,-0.00033434,12589780.0,588.64,675.34,736.73,756.2,6.53,754.03,759.41,-1.0,-1.0
130,449.0,454.5,440.55,502601.0,22.97,-77.03,-0.01277778,133625749.0,354.42,406.11,443.51,455.09,23.86,452.82,464.96,1.0,1.0
131,417.6,474.75,417.6,3655294.0,99.15,-0.85,0.10792301,138105648.0,333.83,390.17,418.3,439.42,64.42,437.7,448.11,-1.0,-1.0
132,237.1,239.25,232.0,1289228.0,5.34,-94.66,-0.07064458,340798316.0,197.72,219.41,247.93,243.28,41.26,242.79,246.4,1.0,1.0
133,332.1,335.0,323.7,814066.0,41.21,-58.79,-0.0100091,479226105.0,265.09,295.22,331.5,327.24,68.04,326.42,331.1,1.0,1.0
134,791.3,797.6,780.0,213003.0,35.17,-64.83,-0.01139081,145409412.0,633.14,725.67,791.79,812.92,80.24,809.71,812.94,1.0,1.0
135,378.55,381.5,368.1,475237.0,43.77,-56.23,0.01184641,445858215.0,300.43,331.25,374.14,365.96,-3.72,363.84,376.41,1.0,1.0
136,633.3,635.95,597.6,2488593.0,-8.55,-108.55,-0.08887212,719558331.0,519.9,587.59,653.24,655.09,6.98,654.49,638.32,1.0,1.0
137,376.0,383.9,374.7,1162937.0,45.48,-54.52,-0.02197379,208369214.0,308.2,342.51,387.13,380.13,4.15,380.63,372.28,-1.0,-1.0
138,634.0,655.0,624.0,558995.0,73.68,-26.32,-0.02306536,-1525616.0,508.34,555.82,639.92,607.76,54.67,612.54,585.69,-1.0,-1.0
139,893.0,926.0,890.05,110541.0,77.9,-22.1,0.08422619,12505808.0,691.56,761.69,858.1,838.59,58.33,839.44,833.87,-1.0,-1.0
140,787.0,808.85,761.0,1453775.0,75.53,-24.47,0.00683793,137055999.0,642.29,680.08,802.11,736.27,46.89,748.65,701.13,1.0,1.0
141,562.9,562.9,549.2,940046.0,20.02,-79.98,-0.0178269,718665256.0,446.85,509.03,558.87,568.18,26.9,568.0,565.1,1.0,1.0
142,547.95,550.85,535.4,1064846.0,21.86,-78.14,-0.01270334,714939445.0,433.98,505.32,542.95,570.1,43.05,568.21,585.48,1.0,1.0
143,917.0,950.0,772.9,742615.0,31.7,-68.3,-0.02380584,-7905474.0,760.49,860.37,956.19,956.25,74.42,958.03,975.1,-1.0,1.0
144,234.55,243.65,234.55,690235.0,29.74,-70.26,-0.0227365,341290520.0,192.97,221.03,242.69,247.61,5.43,247.22,247.26,-1.0,-1.0
145,458.0,474.95,449.95,1426693.0,93.82,-6.18,0.04866316,132609702.0,363.8,402.87,452.53,444.27,46.31,444.27,430.69,-1.0,-1.0
146,505.5,519.5,505.25,302570.0,4.17,-95.83,-0.05290214,91557069.0,420.85,479.45,529.44,536.16,10.57,534.19,544.19,-1.0,1.0
